"V1","V2","V3","V4","V5","V6","V7","V8","PLAYER_NAME","SEASON"
-2.6767246723175,-1.68431830406189,1.37250971794128,-0.984935879707336,-0.732381761074066,0.957168757915497,3.78651571273804,-1.06535017490387,"Kobe Bryant","2015-16"
-5.00501108169556,-1.46987199783325,2.81259393692017,-0.138972073793411,0.442041575908661,2.60471844673157,4.91979885101318,-2.37149095535278,"Tim Duncan","2015-16"
-6.79034376144409,-0.391086161136627,2.44280409812927,-1.21975588798523,1.00532388687134,3.26218891143799,4.95102691650391,-3.03891921043396,"Vince Carter","2015-16"
-5.46464157104492,-1.38337969779968,3.1860978603363,-0.893452882766724,0.720225751399994,2.5108528137207,6.05647420883179,-4.6000452041626,"Dirk Nowitzki","2015-16"
-4.66243505477905,-2.98452258110046,2.83856153488159,-0.356000959873199,-0.0130721963942051,0.976604700088501,3.32197427749634,-2.41590690612793,"Elton Brand","2015-16"
-4.46989440917969,-2.16670536994934,1.6487945318222,0.82073450088501,-1.75470006465912,1.9820305109024,3.6800217628479,-2.10185742378235,"Andre Miller","2015-16"
-4.82982397079468,0.797869741916656,1.36931276321411,-1.25712954998016,1.05275559425354,2.51765012741089,5.63524627685547,-2.33924412727356,"Andre Miller","2015-16"
-4.45319128036499,-3.13443946838379,2.12462735176086,-0.490881055593491,-0.370432436466217,1.72075390815735,4.15965127944946,-2.33401131629944,"Jason Terry","2015-16"
-5.08792972564697,1.80140042304993,1.1595698595047,-0.557325124740601,1.07379734516144,2.07929468154907,4.27334451675415,-1.43347680568695,"Tyson Chandler","2015-16"
-4.85780334472656,0.835783541202545,0.954259753227234,-1.25888895988464,1.04453897476196,2.37039113044739,5.2896842956543,-2.49744153022766,"Pau Gasol","2015-16"
-2.59863948822021,-0.842710733413696,0.615974962711334,-0.73698627948761,-0.580436050891876,1.42718160152435,3.66522836685181,-0.699590623378754,"Joe Johnson","2015-16"
-4.69725561141968,-2.9874165058136,3.01678991317749,-1.39613270759583,-0.520570993423462,0.691020309925079,4.47020435333252,-2.90912365913391,"Joe Johnson","2015-16"
-5.76765871047974,-1.51339411735535,2.191326379776,-1.37030708789825,0.227735817432404,2.69828033447266,3.96841549873352,-3.86410236358643,"Richard Jefferson","2015-16"
-2.63435196876526,-0.800915956497192,0.713187456130981,-0.617541790008545,-0.508974730968475,1.49414372444153,3.46625995635986,-0.51424902677536,"Zach Randolph","2015-16"
-6.26483392715454,-0.143646359443665,2.14736866950989,-1.33937156200409,1.1825338602066,3.32411432266235,4.59144973754883,-2.22988367080688,"Chris Andersen","2015-16"
-5.26933526992798,0.843869149684906,1.18962061405182,-1.4627810716629,1.09627211093903,2.51579689979553,3.5017683506012,-1.3300484418869,"Drew Gooden","2015-16"
-4.71392583847046,-2.51305031776428,2.32667708396912,-0.601738333702087,-0.523853838443756,0.82841682434082,4.10784816741943,-3.16699862480164,"Amar'e Stoudemire","2015-16"
-3.79482316970825,-2.33379673957825,1.462446808815,0.0933720767498016,-0.788059532642365,1.3415344953537,4.31448650360107,-2.08683109283447,"Caron Butler","2015-16"
-7.93549489974976,-1.90731358528137,3.58662295341492,-2.1375744342804,1.45855271816254,3.28537368774414,5.65933704376221,-4.12939929962158,"Tayshaun Prince","2015-16"
-5.70776271820068,-1.17229390144348,2.33567404747009,-3.42940020561218,0.758926331996918,2.65798091888428,4.4362964630127,-3.16765093803406,"Matt Barnes","2015-16"
-1.42408990859985,-1.26974248886108,0.130865424871445,0.36162456870079,-0.229354202747345,-0.0834610909223557,3.1672043800354,-1.5504230260849,"Luis Scola","2015-16"
-4.2652702331543,-1.44865703582764,1.5517760515213,-0.0858617722988129,-0.570079505443573,0.946260750293732,4.55353212356567,-2.2887065410614,"LeBron James","2015-16"
-6.9160943031311,-0.586292147636414,1.94587218761444,-0.874163627624512,1.53322803974152,2.28884625434875,6.34742546081543,-3.69203305244446,"Carmelo Anthony","2015-16"
-4.37268877029419,0.608590185642242,1.19429421424866,-1.24583780765533,1.04660618305206,2.18231678009033,5.08826398849487,-2.30682682991028,"Chris Bosh","2015-16"
-5.49553203582764,-1.3174877166748,2.9079258441925,-0.820483446121216,0.792231023311615,2.74004936218262,5.99970149993896,-4.12628316879272,"Dwyane Wade","2015-16"
-3.40093016624451,-1.44045805931091,1.1236047744751,0.108857840299606,-0.972696125507355,1.83295631408691,3.15865921974182,-1.32222998142242,"Kirk Hinrich","2015-16"
-4.53129196166992,-2.26161885261536,1.38949406147003,0.524356484413147,0.29844731092453,1.48153841495514,3.94722628593445,-2.20803093910217,"David West","2015-16"
-7.56730604171753,-1.86731004714966,2.65822005271912,-1.9303023815155,1.59968602657318,3.167400598526,5.03214550018311,-3.88984394073486,"Boris Diaw","2015-16"
-6.31685924530029,-2.19632387161255,2.52253031730652,-1.30383276939392,2.19054412841797,3.0785448551178,3.25390768051147,-2.42845511436462,"Kendrick Perkins","2015-16"
-5.375901222229,-1.72659182548523,3.50909423828125,-1.32891917228699,0.59520834684372,2.57124066352844,6.02297306060791,-3.67917084693909,"Leandro Barbosa","2015-16"
-4.88779306411743,-2.96755385398865,2.7204110622406,-1.67004776000977,-0.131909191608429,1.0407053232193,4.32625579833984,-2.64865279197693,"Steve Blake","2015-16"
-0.623300015926361,-0.392304569482803,-0.149906039237976,-0.188953429460526,-0.649317264556885,0.0863698050379753,1.7633239030838,-0.689308643341064,"Zaza Pachulia","2015-16"
-6.66509866714478,-2.48474717140198,2.63596606254578,-1.63048481941223,0.0901867747306824,2.94484376907349,3.97917413711548,-4.36069059371948,"Mo Williams","2015-16"
